# dinosaurs_length.tsv - dinosaur genus <TAB> estimated adult body length in metres
# Values are central published estimates, rounded; sub-3-metre taxa keep one decimal.
# Fragmentary taxa carry real uncertainty. See data/dinosaurs_length_tsv.meta.json.
Tyrannosaurus	12
Tarbosaurus	10
Daspletosaurus	9
Gorgosaurus	9
Albertosaurus	9
Zhuchengtyrannus	11
Lythronax	8
Teratophoneus	6
Nanuqsaurus	6
Bistahieversor	9
Appalachiosaurus	7
Alioramus	6
Qianzhousaurus	8
Yutyrannus	9
Dilong	2.0
Guanlong	3
Proceratosaurus	3
Eotyrannus	5
Raptorex	3
Suskityrannus	3
Moros	1.2
Timurlengia	4
Xiongguanlong	5
Alectrosaurus	5
Giganotosaurus	13
Carcharodontosaurus	13
Mapusaurus	12
Tyrannotitan	12
Acrocanthosaurus	11
Sauroniops	12
Shaochilong	6
Concavenator	6
Eocarcharia	6
Neovenator	8
Veterupristisaurus	9
Siats	10
Chilantaisaurus	11
Megaraptor	8
Australovenator	6
Aerosteon	9
Fukuiraptor	5
Orkoraptor	6
Murusraptor	7
Allosaurus	9
Saurophaganax	11
Epanterias	12
Edmarka	12
Sinraptor	7
Yangchuanosaurus	8
Metriacanthosaurus	8
Monolophosaurus	6
Cryolophosaurus	7
Piatnitzkysaurus	5
Marshosaurus	5
Eustreptospondylus	5
Afrovenator	8
Dubreuillosaurus	5
Magnosaurus	4
Poekilopleuron	9
Streptospondylus	6
Wiehenvenator	8
Duriavenator	7
Megalosaurus	9
Torvosaurus	10
Spinosaurus	15
Baryonyx	8
Suchomimus	11
Irritator	8
Ichthyovenator	9
Oxalaia	12
Angaturama	8
Cristatusaurus	10
Sigilmassasaurus	12
Riparovenator	9
Ceratosuchops	9
Ceratosaurus	6
Carnotaurus	8
Abelisaurus	9
Majungasaurus	7
Rajasaurus	9
Rugops	6
Skorpiovenator	6
Aucasaurus	6
Ekrixinatosaurus	8
Ilokelesia	5
Indosuchus	7
Genusaurus	4
Pycnonemosaurus	9
Eoabelisaurus	7
Xenotarsosaurus	6
Masiakasaurus	2.0
Noasaurus	2.4
Limusaurus	1.7
Elaphrosaurus	6
Deltadromeus	8
Gualicho	6
Bahariasaurus	11
Spinostropheus	4
Dilophosaurus	6
Coelophysis	3
Liliensternus	5
Zupaysaurus	4
Segisaurus	1.0
Procompsognathus	1.0
Eoraptor	1.0
Herrerasaurus	4
Staurikosaurus	2.0
Eodromaeus	1.2
Compsognathus	1.0
Sinosauropteryx	1.0
Juravenator	0.8
Coelurus	2.0
Ornitholestes	2.0
Tanycolagreus	3
Velociraptor	2.0
Deinonychus	3
Utahraptor	6
Achillobator	5
Dakotaraptor	5
Austroraptor	5
Unenlagia	4
Buitreraptor	1.5
Neuquenraptor	3
Dromaeosaurus	2.0
Saurornitholestes	1.8
Atrociraptor	2.0
Bambiraptor	1.0
Adasaurus	2.0
Balaur	2.0
Pyroraptor	2.0
Tsaagan	2.0
Linheraptor	1.8
Zhenyuanlong	1.7
Changyuraptor	1.3
Microraptor	0.8
Hesperonychus	1.0
Sinornithosaurus	1.2
Rahonavis	0.7
Yurgovuchia	2.0
Troodon	2.4
Saurornithoides	3
Zanabazar	2.3
Byronosaurus	1.5
Mei	0.5
Sinovenator	1.0
Anchiornis	0.4
Alvarezsaurus	1.4
Mononykus	1.0
Shuvuuia	0.6
Patagonykus	2.0
Haplocheirus	2.0
Linhenykus	0.7
Gallimimus	6
Struthiomimus	4
Ornithomimus	4
Deinocheirus	11
Garudimimus	4
Pelecanimimus	2.5
Harpymimus	4
Anserimimus	3
Sinornithomimus	2.5
Archaeornithomimus	3
Oviraptor	1.6
Citipati	3
Gigantoraptor	8
Caudipteryx	1.0
Anzu	3
Khaan	1.2
Conchoraptor	1.5
Nemegtomaia	2.0
Rinchenia	2.5
Incisivosaurus	1.0
Avimimus	1.5
Chirostenotes	2.5
Therizinosaurus	10
Nothronychus	5
Beipiaosaurus	2.2
Alxasaurus	4
Falcarius	4
Segnosaurus	7
Erlikosaurus	5
Neimongosaurus	3
Confuciusornis	0.5
Jeholornis	0.8
Sapeornis	0.4
Ichthyornis	0.4
Hesperornis	1.5
Archaeopteryx	0.5
Argentinosaurus	35
Patagotitan	31
Puertasaurus	30
Dreadnoughtus	26
Futalognkosaurus	26
Notocolossus	28
Sauroposeidon	30
Supersaurus	33
Diplodocus	26
Barosaurus	26
Apatosaurus	21
Brontosaurus	22
Brachiosaurus	22
Giraffatitan	23
Camarasaurus	18
Haplocanthosaurus	14
Alamosaurus	26
Saltasaurus	12
Rapetosaurus	15
Nemegtosaurus	13
Opisthocoelicaudia	12
Isisaurus	18
Antarctosaurus	18
Ampelosaurus	15
Magyarosaurus	6
Europasaurus	6
Mamenchisaurus	25
Omeisaurus	15
Shunosaurus	9
Datousaurus	14
Bellusaurus	5
Cetiosaurus	16
Patagosaurus	15
Barapasaurus	14
Isanosaurus	13
Vulcanodon	7
Amargasaurus	10
Dicraeosaurus	13
Brachytrachelopan	10
Rebbachisaurus	14
Limaysaurus	15
Nigersaurus	9
Demandasaurus	10
Turiasaurus	26
Losillasaurus	18
Atlasaurus	15
Jobaria	18
Chubutisaurus	18
Andesaurus	18
Malawisaurus	11
Paralititan	26
Aegyptosaurus	15
Bonitasaurus	9
Neuquensaurus	7
Rocasaurus	8
Plateosaurus	8
Massospondylus	4
Lufengosaurus	6
Anchisaurus	2.0
Riojasaurus	7
Melanorosaurus	8
Thecodontosaurus	2.0
Efraasia	6
Coloradisaurus	4
Mussaurus	6
